Wavelength (nm),6803_P,7942_P,7120_P,cc124_P,Arabidopsis_P,Phaeodactylum_P,Symbiodinium_P,R. palustris_P,Sphingomonas,E. coli mScarlett,B. subtilis mTurqouise,V. natriegens sfGFP
375,0.176,0.2,0.237,0.188,0.16,0.22,0.145,0.234,0.294,0.345,0.317,0.334
376,0.176,0.2,0.236,0.189,0.161,0.22,0.145,0.232,0.294,0.343,0.316,0.331
377,0.176,0.2,0.237,0.189,0.161,0.22,0.145,0.232,0.293,0.342,0.315,0.33
378,0.175,0.2,0.237,0.189,0.162,0.22,0.145,0.232,0.291,0.341,0.314,0.329
379,0.175,0.199,0.237,0.189,0.162,0.22,0.145,0.233,0.291,0.341,0.313,0.327
380,0.175,0.199,0.237,0.19,0.163,0.22,0.146,0.233,0.289,0.341,0.312,0.326
381,0.175,0.199,0.238,0.19,0.164,0.22,0.146,0.232,0.288,0.341,0.31,0.325
382,0.175,0.199,0.238,0.19,0.165,0.22,0.146,0.232,0.287,0.34,0.31,0.326
383,0.176,0.199,0.238,0.191,0.165,0.221,0.146,0.232,0.286,0.34,0.309,0.322
384,0.175,0.199,0.238,0.191,0.166,0.22,0.146,0.231,0.285,0.34,0.308,0.322
385,0.175,0.199,0.238,0.191,0.167,0.22,0.146,0.23,0.284,0.339,0.307,0.321
386,0.175,0.199,0.238,0.191,0.167,0.221,0.147,0.23,0.282,0.34,0.306,0.321
387,0.175,0.199,0.239,0.192,0.167,0.221,0.147,0.229,0.282,0.339,0.305,0.319
388,0.175,0.199,0.238,0.192,0.168,0.221,0.147,0.229,0.281,0.338,0.304,0.317
389,0.175,0.199,0.239,0.192,0.168,0.221,0.147,0.228,0.28,0.339,0.303,0.317
390,0.175,0.199,0.239,0.192,0.168,0.221,0.147,0.227,0.279,0.338,0.302,0.315
391,0.175,0.199,0.239,0.192,0.167,0.221,0.147,0.226,0.278,0.337,0.301,0.315
392,0.175,0.198,0.239,0.192,0.167,0.221,0.147,0.226,0.277,0.337,0.3,0.315
393,0.175,0.198,0.239,0.192,0.167,0.221,0.147,0.225,0.276,0.337,0.299,0.312
394,0.174,0.198,0.239,0.192,0.167,0.221,0.147,0.224,0.275,0.337,0.298,0.312
395,0.174,0.198,0.238,0.192,0.166,0.221,0.147,0.223,0.275,0.337,0.298,0.311
396,0.174,0.197,0.238,0.192,0.165,0.221,0.147,0.222,0.274,0.336,0.296,0.311
397,0.174,0.197,0.238,0.192,0.165,0.221,0.147,0.221,0.273,0.336,0.295,0.309
398,0.173,0.197,0.238,0.192,0.164,0.221,0.147,0.219,0.272,0.336,0.294,0.308
399,0.173,0.197,0.238,0.192,0.164,0.221,0.147,0.218,0.271,0.335,0.293,0.307
400,0.173,0.197,0.238,0.192,0.163,0.221,0.148,0.217,0.27,0.335,0.293,0.306
401,0.173,0.197,0.238,0.192,0.162,0.221,0.148,0.216,0.269,0.335,0.292,0.305
402,0.172,0.196,0.237,0.192,0.161,0.221,0.148,0.215,0.268,0.334,0.29,0.303
403,0.172,0.196,0.237,0.192,0.161,0.221,0.148,0.214,0.268,0.334,0.29,0.302
404,0.172,0.196,0.237,0.193,0.161,0.221,0.148,0.213,0.267,0.334,0.289,0.302
405,0.172,0.196,0.238,0.193,0.161,0.222,0.148,0.213,0.267,0.333,0.288,0.301
406,0.172,0.196,0.238,0.194,0.16,0.221,0.148,0.212,0.266,0.333,0.287,0.299
407,0.171,0.197,0.238,0.194,0.16,0.222,0.148,0.211,0.265,0.333,0.286,0.299
408,0.171,0.197,0.238,0.194,0.16,0.221,0.148,0.21,0.265,0.332,0.285,0.298
409,0.171,0.198,0.238,0.195,0.161,0.222,0.148,0.209,0.264,0.332,0.284,0.297
410,0.171,0.198,0.238,0.196,0.161,0.222,0.148,0.208,0.264,0.332,0.283,0.296
411,0.172,0.199,0.239,0.196,0.161,0.222,0.148,0.207,0.263,0.332,0.282,0.295
412,0.172,0.199,0.24,0.197,0.162,0.222,0.149,0.206,0.262,0.331,0.281,0.294
413,0.173,0.2,0.24,0.198,0.162,0.223,0.149,0.205,0.261,0.331,0.281,0.293
414,0.173,0.201,0.241,0.199,0.163,0.223,0.149,0.204,0.26,0.331,0.28,0.292
415,0.174,0.202,0.241,0.199,0.163,0.223,0.149,0.202,0.259,0.33,0.279,0.291
416,0.174,0.203,0.242,0.2,0.164,0.224,0.149,0.2,0.258,0.33,0.278,0.29
417,0.175,0.204,0.243,0.201,0.165,0.224,0.149,0.199,0.257,0.329,0.277,0.289
418,0.175,0.204,0.244,0.202,0.165,0.225,0.149,0.198,0.256,0.328,0.276,0.288
419,0.176,0.205,0.244,0.202,0.165,0.225,0.149,0.196,0.255,0.327,0.275,0.287
420,0.176,0.206,0.245,0.203,0.165,0.225,0.149,0.195,0.253,0.326,0.274,0.286
421,0.176,0.206,0.245,0.204,0.165,0.225,0.149,0.193,0.252,0.325,0.273,0.285
422,0.177,0.207,0.246,0.204,0.164,0.226,0.149,0.192,0.251,0.324,0.273,0.284
423,0.177,0.207,0.246,0.205,0.164,0.226,0.149,0.191,0.249,0.323,0.272,0.283
424,0.177,0.208,0.246,0.205,0.164,0.226,0.149,0.19,0.248,0.322,0.271,0.282
425,0.177,0.208,0.247,0.206,0.163,0.226,0.149,0.189,0.247,0.321,0.27,0.282
426,0.177,0.208,0.247,0.206,0.162,0.226,0.149,0.187,0.246,0.32,0.269,0.281
427,0.178,0.209,0.247,0.206,0.162,0.226,0.15,0.187,0.244,0.319,0.268,0.28
428,0.178,0.209,0.247,0.207,0.162,0.227,0.15,0.185,0.243,0.318,0.267,0.279
429,0.178,0.209,0.247,0.207,0.161,0.227,0.149,0.184,0.242,0.317,0.266,0.278
430,0.178,0.21,0.247,0.208,0.161,0.227,0.15,0.183,0.241,0.316,0.265,0.277
431,0.178,0.21,0.247,0.208,0.161,0.227,0.15,0.182,0.24,0.315,0.264,0.276
432,0.178,0.211,0.248,0.209,0.162,0.227,0.15,0.18,0.239,0.314,0.264,0.275
433,0.179,0.212,0.248,0.21,0.162,0.228,0.15,0.179,0.238,0.313,0.263,0.274
434,0.179,0.212,0.248,0.21,0.163,0.228,0.15,0.178,0.237,0.312,0.262,0.273
435,0.18,0.213,0.249,0.211,0.164,0.228,0.15,0.177,0.236,0.311,0.261,0.272
436,0.181,0.215,0.249,0.212,0.165,0.228,0.15,0.175,0.235,0.31,0.26,0.271
437,0.182,0.216,0.25,0.212,0.166,0.229,0.15,0.174,0.234,0.309,0.259,0.27
438,0.184,0.217,0.251,0.213,0.167,0.229,0.15,0.173,0.233,0.308,0.258,0.269
439,0.185,0.218,0.252,0.214,0.168,0.23,0.15,0.172,0.232,0.307,0.257,0.269
440,0.186,0.219,0.252,0.214,0.168,0.23,0.15,0.171,0.231,0.306,0.256,0.268
441,0.187,0.22,0.253,0.215,0.168,0.23,0.15,0.17,0.23,0.305,0.256,0.267
442,0.188,0.22,0.253,0.215,0.168,0.231,0.15,0.169,0.229,0.304,0.255,0.266
443,0.189,0.221,0.254,0.216,0.168,0.231,0.149,0.168,0.228,0.303,0.254,0.265
444,0.19,0.221,0.254,0.216,0.168,0.231,0.149,0.168,0.227,0.303,0.253,0.264
445,0.191,0.222,0.255,0.216,0.167,0.232,0.149,0.167,0.227,0.302,0.252,0.263
446,0.191,0.221,0.255,0.216,0.165,0.232,0.149,0.166,0.226,0.301,0.251,0.262
